Year,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2010,Afghanistan,30000,31330000,<10000,10000,<10000,<10000,20000,<10000,31410000
2010,Albania,580000,2570000,50000,<10000,<10000,<10000,<10000,<10000,3200000
2010,Algeria,60000,34730000,660000,<10000,<10000,10000,<10000,<10000,35470000
2010,American Samoa,50000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,60000
2010,Andorra,70000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,80000
2010,Angola,17270000,40000,980000,<10000,<10000,790000,<10000,<10000,19080000
2010,Anguilla,10000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,10000
2010,Antigua and Barbuda,80000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,90000
2010,Argentina,34420000,400000,4920000,<10000,20000,330000,120000,200000,40410000
2010,Armenia,3050000,<10000,40000,<10000,<10000,<10000,<10000,<10000,3090000
2010,Aruba,100000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,110000
2010,Australia,14980000,540000,5390000,310000,600000,150000,180000,110000,22270000
2010,Austria,6750000,450000,1130000,<10000,20000,<10000,10000,10000,8390000
2010,Azerbaijan,280000,8900000,<10000,<10000,<10000,<10000,<10000,<10000,9190000
2010,Bahamas,330000,<10000,10000,<10000,<10000,<10000,<10000,<10000,340000
2010,Bahrain,180000,890000,20000,120000,30000,<10000,<10000,<10000,1260000
2010,Bangladesh,450000,134430000,<10000,12680000,920000,100000,100000,<10000,148690000
2010,Barbados,260000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,270000
2010,Belarus,6830000,20000,2740000,<10000,<10000,<10000,<10000,<10000,9600000
2010,Belgium,6880000,630000,3110000,<10000,30000,20000,10000,30000,10710000
2010,Belize,270000,<10000,30000,<10000,<10000,<10000,<10000,<10000,310000
2010,Benin,4690000,2110000,450000,<10000,<10000,1600000,<10000,<10000,8850000
2010,Bermuda,50000,<10000,10000,<10000,<10000,<10000,<10000,<10000,60000
2010,Bhutan,<10000,<10000,<10000,160000,540000,10000,<10000,<10000,730000
2010,Bolivia,9330000,<10000,400000,<10000,<10000,90000,100000,<10000,9930000
2010,Bosnia-Herzegovina,1970000,1700000,90000,<10000,<10000,<10000,<10000,<10000,3760000
2010,Botswana,1450000,<10000,410000,<10000,<10000,120000,10000,<10000,2010000
2010,Brazil,173300000,40000,15410000,<10000,250000,5540000,300000,110000,194950000
2010,British Virgin Islands,20000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,30000
2010,Brunei,40000,300000,<10000,<10000,30000,20000,<10000,<10000,400000
2010,Bulgaria,6150000,1020000,310000,<10000,<10000,<10000,<10000,<10000,7490000
2010,Burkina Faso,3710000,10150000,70000,<10000,<10000,2530000,<10000,<10000,16470000
