Year,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2010,Afghanistan,"30,000","31,330,000",<10000,"10,000",<10000,<10000,"20,000",<10000,"31,410,000"
2010,Albania,"580,000","2,570,000","50,000",<10000,<10000,<10000,<10000,<10000,"3,200,000"
2010,Algeria,"60,000","34,730,000","660,000",<10000,<10000,"10,000",<10000,<10000,"35,470,000"
2010,American Samoa,"50,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"60,000"
2010,Andorra,"70,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"80,000"
2010,Angola,"17,270,000","40,000","980,000",<10000,<10000,"790,000",<10000,<10000,"19,080,000"
2010,Anguilla,"10,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"10,000"
2010,Antigua and Barbuda,"80,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"90,000"
2010,Argentina,"34,420,000","400,000","4,920,000",<10000,"20,000","330,000","120,000","200,000","40,410,000"
2010,Armenia,"3,050,000",<10000,"40,000",<10000,<10000,<10000,<10000,<10000,"3,090,000"
2010,Aruba,"100,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"110,000"
2010,Australia,"14,980,000","540,000","5,390,000","310,000","600,000","150,000","180,000","110,000","22,270,000"
2010,Austria,"6,750,000","450,000","1,130,000",<10000,"20,000",<10000,"10,000","10,000","8,390,000"
2010,Azerbaijan,"280,000","8,900,000",<10000,<10000,<10000,<10000,<10000,<10000,"9,190,000"
2010,Bahamas,"330,000",<10000,"10,000",<10000,<10000,<10000,<10000,<10000,"340,000"
2010,Bahrain,"180,000","890,000","20,000","120,000","30,000",<10000,<10000,<10000,"1,260,000"
2010,Bangladesh,"450,000","134,430,000",<10000,"12,680,000","920,000","100,000","100,000",<10000,"148,690,000"
2010,Barbados,"260,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"270,000"
2010,Belarus,"6,830,000","20,000","2,740,000",<10000,<10000,<10000,<10000,<10000,"9,600,000"
2010,Belgium,"6,880,000","630,000","3,110,000",<10000,"30,000","20,000","10,000","30,000","10,710,000"
2010,Belize,"270,000",<10000,"30,000",<10000,<10000,<10000,<10000,<10000,"310,000"
2010,Benin,"4,690,000","2,110,000","450,000",<10000,<10000,"1,600,000",<10000,<10000,"8,850,000"
2010,Bermuda,"50,000",<10000,"10,000",<10000,<10000,<10000,<10000,<10000,"60,000"
2010,Bhutan,<10000,<10000,<10000,"160,000","540,000","10,000",<10000,<10000,"730,000"
2010,Bolivia,"9,330,000",<10000,"400,000",<10000,<10000,"90,000","100,000",<10000,"9,930,000"
2010,Bosnia-Herzegovina,"1,970,000","1,700,000","90,000",<10000,<10000,<10000,<10000,<10000,"3,760,000"
